                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1924,                 1.1395,                 1.5494,                0.97221,                0.97621,                0.98693,                0.79192,                0.82417,                0.41244,                 1.6061,               0.003268,               0.003268,               0.003268
                     36,                 1.1726,                 1.1107,                 1.5416,                0.96845,                 0.9801,                0.98393,                0.78302,                0.82967,                0.40945,                 1.6263,                0.00307,                0.00307,                0.00307
                     37,                 1.1746,                 1.1203,                 1.5416,                0.97501,                0.98167,                0.98616,                0.78668,                0.84169,                0.40217,                 1.6328,               0.002872,               0.002872,               0.002872
                     38,                 1.1723,                 1.0928,                 1.5417,                 0.9735,                0.97886,                0.98635,                0.79007,                 0.8368,                0.41651,                 1.6202,               0.002674,               0.002674,               0.002674
                     39,                 1.1606,                 1.0917,                 1.5343,                0.97727,                0.98141,                0.98662,                0.79133,                0.82898,                0.39533,                 1.6135,               0.002476,               0.002476,               0.002476
                     40,                 1.1434,                 0.9686,                 1.6077,                0.97214,                0.97628,                0.98486,                0.78821,                0.83185,                0.40485,                 1.6006,               0.002278,               0.002278,               0.002278
                     41,                 1.1213,                0.92935,                 1.5838,                0.97997,                0.97592,                 0.9854,                0.79443,                0.81916,                0.39293,                 1.6061,                0.00208,                0.00208,                0.00208
                     42,                 1.1135,                0.90882,                 1.5782,                 0.9803,                0.97772,                0.98626,                 0.7921,                0.82013,                 0.3976,                 1.5999,               0.001882,               0.001882,               0.001882
                     43,                 1.0998,                0.88155,                 1.5687,                0.98234,                0.97914,                0.98604,                 0.7964,                0.81195,                0.39303,                 1.5858,               0.001684,               0.001684,               0.001684
                     44,                 1.0876,                0.85876,                 1.5466,                0.98182,                0.97959,                0.98666,                 0.7927,                 0.8179,                 0.3865,                 1.5896,               0.001486,               0.001486,               0.001486
                     45,                 1.0821,                 0.8545,                 1.5417,                0.97941,                0.98334,                0.98644,                0.79657,                0.81208,                0.38633,                 1.5887,               0.001288,               0.001288,               0.001288
                     46,                 1.0671,                 0.8377,                 1.5331,                0.98351,                0.98078,                0.98667,                0.79535,                0.81205,                0.38259,                 1.5895,                0.00109,                0.00109,                0.00109
                     47,                 1.0542,                  0.822,                 1.5154,                0.98348,                0.98235,                0.98651,                0.79943,                 0.8064,                0.37815,                 1.5812,               0.000892,               0.000892,               0.000892
                     48,                 1.0391,                0.79783,                 1.4995,                0.98387,                0.98395,                0.98651,                0.80246,                0.80901,                0.37631,                  1.587,               0.000694,               0.000694,               0.000694
                     49,                 1.0286,                0.78846,                 1.4933,                0.98186,                0.98373,                0.98622,                0.80091,                0.80722,                0.38013,                 1.5847,               0.000496,               0.000496,               0.000496
