                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4018,                 4.0315,                 2.0278,                0.01568,                0.69048,                0.10471,                0.05665,                 1.7037,                 3.5776,                 2.3722,               0.003664,               0.003664,               0.003664
                     34,                 1.3597,                 3.9213,                  1.926,                0.01958,                0.69048,                0.17015,                0.09491,                 1.5362,                 3.7053,                  2.196,               0.003466,               0.003466,               0.003466
                     35,                 1.3731,                 3.9755,                 2.0068,                0.01099,                0.77778,                0.22846,                0.12438,                 1.7055,                 3.5941,                 2.3937,               0.003268,               0.003268,               0.003268
                     36,                 1.4031,                 3.9962,                 2.0242,                0.00973,                0.83333,                0.16549,                0.09441,                 1.7453,                 3.5378,                 2.4316,                0.00307,                0.00307,                0.00307
                     37,                 1.4166,                 3.9234,                 2.0347,                0.93484,                 0.0191,                0.16425,                0.08058,                 1.8209,                 3.4059,                 2.5998,               0.002872,               0.002872,               0.002872
                     38,                 1.3963,                 3.8776,                  1.996,                0.89977,                0.05952,                0.18191,                0.11096,                 1.6066,                 3.5739,                 2.2712,               0.002674,               0.002674,               0.002674
                     39,                 1.3642,                 3.8985,                 2.0205,                0.01557,                0.80556,                0.11271,                0.06199,                 1.6604,                 3.4825,                 2.2852,               0.002476,               0.002476,               0.002476
                     40,                 1.2489,                 3.2908,                 1.5082,                0.02328,                0.72222,                0.17006,                0.10562,                 1.6534,                 3.5528,                 2.4862,               0.002278,               0.002278,               0.002278
                     41,                 1.2637,                  3.197,                 1.5238,                0.01977,                0.66667,                0.15548,                 0.1002,                 1.5864,                 3.5057,                 2.3817,                0.00208,                0.00208,                0.00208
                     42,                 1.1658,                 3.0615,                 1.5165,                0.02031,                   0.75,                0.21883,                0.14277,                 1.5765,                 3.4973,                 2.2467,               0.001882,               0.001882,               0.001882
                     43,                 1.2694,                 3.1106,                 1.4777,                 0.0189,                0.63889,                0.11842,                0.06928,                 1.6877,                 3.5541,                 2.5182,               0.001684,               0.001684,               0.001684
                     44,                 1.2292,                 3.1584,                  1.477,                0.02042,                   0.75,                0.16534,                0.10397,                 1.5257,                  3.436,                 2.2685,               0.001486,               0.001486,               0.001486
                     45,                 1.1806,                  3.146,                  1.534,                0.02042,                   0.75,                0.12278,                 0.0765,                 1.5368,                 3.4407,                 2.2327,               0.001288,               0.001288,               0.001288
                     46,                 1.2092,                 3.0627,                  1.452,                0.01919,                   0.75,                0.09682,                0.05863,                 1.4515,                 3.4076,                 2.2388,                0.00109,                0.00109,                0.00109
                     47,                 1.1372,                 3.0017,                 1.3784,                0.01979,                   0.75,                0.11759,                0.06457,                 1.5496,                 3.4372,                 2.2537,               0.000892,               0.000892,               0.000892
                     48,                 1.1702,                 2.9846,                 1.4525,                0.02044,                0.69444,                0.10967,                0.06249,                 1.6285,                 3.4782,                 2.4325,               0.000694,               0.000694,               0.000694
                     49,                 1.1682,                 2.9685,                   1.35,                0.02052,                   0.75,                0.12086,                0.07086,                 1.5409,                 3.4028,                 2.3187,               0.000496,               0.000496,               0.000496
