                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0037,                 21.967,                 2.7976,                  8e-05,                0.05556,                0.00213,                0.00052,                 1.9354,                 4.7443,                 3.0377,               0.070137,              0.0033181,              0.0033181
                      1,                 1.7666,                 10.746,                 2.4283,                0.00015,                0.05556,                0.00037,                  7e-05,                 1.7777,                 4.5019,                 2.8099,               0.040005,              0.0065197,              0.0065197
                      2,                 1.8728,                 9.4148,                 2.5532,                0.00065,                 0.0119,                0.00047,                  8e-05,                  2.719,                 4.7856,                 3.5223,              0.0097416,              0.0095894,              0.0095894
                      3,                 2.0584,                  7.351,                 2.7254,                0.00065,                 0.0119,                0.00047,                  8e-05,                 2.6118,                 5.0179,                 3.9893,               0.009406,               0.009406,               0.009406
                      4,                 2.2028,                 6.5964,                 2.7784,                0.00065,                 0.0119,                0.00047,                  8e-05,                 2.7863,                 5.0555,                  3.747,               0.009406,               0.009406,               0.009406
                      5,                 2.2299,                 5.9667,                 2.8711,                0.00065,                 0.0119,                0.00047,                  8e-05,                 2.6493,                 4.8992,                 3.6117,               0.009208,               0.009208,               0.009208
                      6,                  2.074,                 5.5463,                 2.7434,                0.00065,                 0.0119,                0.00047,                  8e-05,                 2.2139,                 4.9387,                 3.1879,                0.00901,                0.00901,                0.00901
                      7,                 1.9201,                 5.3838,                 2.6326,                0.00065,                 0.0119,                0.00047,                  8e-05,                 2.2736,                  4.896,                 3.0989,               0.008812,               0.008812,               0.008812
                      8,                 1.9708,                 5.2504,                 2.6237,                0.00065,                 0.0119,                0.00047,                  8e-05,                 2.0933,                 4.8161,                 3.0022,               0.008614,               0.008614,               0.008614
                      9,                 1.9188,                 5.2048,                 2.6304,                0.00065,                 0.0119,                0.00047,                  8e-05,                 1.7768,                 4.5983,                 2.7674,               0.008416,               0.008416,               0.008416
                     10,                 1.8174,                 5.0121,                 2.5167,                0.00364,                0.01587,                0.00366,                0.00111,                 2.1622,                 4.7613,                 3.1752,               0.008218,               0.008218,               0.008218
                     11,                 1.8249,                 4.9253,                 2.4653,                0.00055,                0.11111,                0.00408,                 0.0019,                 2.0785,                 4.5728,                 2.8876,                0.00802,                0.00802,                0.00802
                     12,                 1.7984,                 4.7953,                 2.4248,                0.00295,                0.24206,                0.02348,                0.01202,                 1.7946,                 4.4737,                 2.6546,               0.007822,               0.007822,               0.007822
                     13,                 1.6965,                 4.6622,                 2.3992,                0.00155,                0.21429,                0.06079,                0.04062,                   1.83,                 4.3314,                 2.5996,               0.007624,               0.007624,               0.007624
                     14,                 1.6972,                 4.6333,                 2.3514,                0.00383,                0.18254,                0.01931,                 0.0087,                 1.6146,                 4.2262,                 2.5432,               0.007426,               0.007426,               0.007426
                     15,                 1.6677,                 4.5362,                 2.2799,                0.00792,                 0.2381,                0.01825,                0.00897,                 1.7547,                  4.197,                 2.6157,               0.007228,               0.007228,               0.007228
                     16,                 1.6339,                 4.4752,                 2.3331,                0.02673,                0.63889,                0.07353,                0.03152,                 1.9618,                 4.0316,                 2.5815,                0.00703,                0.00703,                0.00703
                     17,                 1.5927,                 4.4525,                 2.2218,                0.01053,                 0.2619,                0.02505,                0.01268,                 1.8515,                 4.1107,                 2.7902,               0.006832,               0.006832,               0.006832
                     18,                 1.6776,                 4.3991,                 2.3136,                0.00787,                0.71429,                0.07445,                0.03668,                 1.5712,                 3.8478,                  2.302,               0.006634,               0.006634,               0.006634
                     19,                 1.6314,                 4.3251,                 2.2229,                0.00547,                0.91667,                0.12467,                0.04847,                 1.5501,                  4.129,                 2.2804,               0.006436,               0.006436,               0.006436
                     20,                 1.5544,                 4.2811,                 2.1741,                0.01021,                0.65079,                0.09246,                0.03918,                 1.7113,                  3.859,                 2.3956,               0.006238,               0.006238,               0.006238
                     21,                 1.5389,                 4.2293,                 2.2114,                 0.2339,                0.15873,                0.08179,                0.03979,                 1.8195,                 3.8745,                 2.5234,                0.00604,                0.00604,                0.00604
                     22,                 1.5291,                  4.324,                 2.1031,                0.01956,                0.54762,                0.11243,                0.06298,                 1.5117,                 3.8542,                 2.2105,               0.005842,               0.005842,               0.005842
                     23,                  1.532,                 4.2117,                 2.2155,                0.01465,                 0.7619,                0.11606,                0.05142,                 1.8306,                  3.861,                 2.5786,               0.005644,               0.005644,               0.005644
                     24,                 1.5801,                 4.1597,                 2.1881,                0.01302,                0.84524,                0.07587,                0.04899,                  1.497,                 3.6582,                 2.1715,               0.005446,               0.005446,               0.005446
                     25,                 1.4924,                 4.1664,                  2.093,                0.01365,                0.74206,                0.15687,                0.09907,                 1.4132,                 3.7011,                 2.0672,               0.005248,               0.005248,               0.005248
                     26,                 1.5069,                 4.1867,                 2.0732,                0.01044,                0.74603,                0.11161,                0.05869,                 1.5972,                 3.6381,                 2.3312,                0.00505,                0.00505,                0.00505
                     27,                 1.5386,                 4.1796,                  2.161,                0.01049,                0.86111,                0.10166,                0.04588,                 1.6289,                 3.6372,                 2.2726,               0.004852,               0.004852,               0.004852
                     28,                 1.4701,                 4.1479,                 2.0706,                0.00866,                0.63095,                0.06413,                0.03361,                 2.0535,                 3.7711,                  3.066,               0.004654,               0.004654,               0.004654
                     29,                 1.5358,                 4.1177,                 2.1772,                0.90414,                0.02778,                0.15695,                0.08257,                 1.6651,                  3.591,                 2.2992,               0.004456,               0.004456,               0.004456
                     30,                 1.4248,                 4.0425,                 2.0871,                0.01032,                0.82937,                0.16003,                0.09763,                 1.6408,                 3.6523,                 2.2977,               0.004258,               0.004258,               0.004258
                     31,                  1.497,                 4.0908,                 2.1446,                0.01052,                0.91667,                0.21456,                0.12519,                 1.6712,                 3.4482,                 2.3002,                0.00406,                0.00406,                0.00406
                     32,                 1.3734,                 3.9635,                 1.9788,                0.01285,                0.77381,                0.25463,                0.15104,                 1.5914,                 3.4862,                 2.1958,               0.003862,               0.003862,               0.003862
