                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6029,                 5.2575,                 2.1645,                0.40849,                0.16139,                0.15858,                0.06216,                 1.9168,                 3.7092,                 2.4391,               0.070073,              0.0033252,              0.0033252
                      1,                 1.4803,                  3.634,                 1.9791,                0.33677,                0.35784,                0.35336,                0.14951,                 1.8467,                 3.0998,                 2.3263,               0.039941,              0.0065267,              0.0065267
                      2,                 1.4604,                 3.0359,                 1.9499,                0.48437,                0.40663,                0.40232,                0.17721,                 1.8604,                 2.7695,                 2.3046,              0.0096773,              0.0095962,              0.0095962
                      3,                 1.4606,                 2.7599,                 1.9365,                0.55788,                0.51771,                0.54763,                0.27809,                 1.6694,                 2.2779,                 2.0972,               0.009406,               0.009406,               0.009406
                      4,                  1.425,                 2.4371,                 1.8965,                0.67071,                0.56389,                0.63264,                0.33728,                 1.6158,                 1.9959,                 2.0186,               0.009406,               0.009406,               0.009406
                      5,                 1.3933,                 2.1281,                 1.8544,                0.66994,                0.64149,                0.70273,                0.38703,                 1.5454,                 1.6831,                 1.9722,               0.009208,               0.009208,               0.009208
                      6,                 1.3503,                 1.9403,                 1.8195,                0.74015,                 0.6632,                0.74335,                0.43124,                 1.5103,                 1.7285,                 1.9079,                0.00901,                0.00901,                0.00901
                      7,                 1.3291,                 1.8052,                 1.7914,                0.71279,                0.70699,                0.76746,                0.43651,                 1.5245,                 1.4823,                 1.9162,               0.008812,               0.008812,               0.008812
                      8,                 1.3254,                 1.7137,                 1.7845,                0.81183,                0.73729,                0.81551,                0.47971,                 1.4603,                 1.4011,                 1.8881,               0.008614,               0.008614,               0.008614
                      9,                 1.2889,                 1.6398,                 1.7532,                 0.8174,                0.75727,                0.83125,                0.48919,                 1.4835,                 1.2499,                 1.8532,               0.008416,               0.008416,               0.008416
                     10,                 1.2754,                 1.5402,                 1.7421,                0.80824,                0.71861,                0.82729,                0.49833,                 1.4282,                 1.2495,                 1.8474,               0.008218,               0.008218,               0.008218
                     11,                 1.2574,                 1.4873,                 1.7349,                0.81365,                0.76144,                0.84479,                0.50768,                 1.4451,                 1.2266,                 1.8553,                0.00802,                0.00802,                0.00802
                     12,                 1.2472,                 1.4351,                 1.7216,                0.81426,                0.77982,                0.85371,                0.52162,                  1.414,                  1.206,                  1.832,               0.007822,               0.007822,               0.007822
                     13,                 1.2316,                 1.3925,                 1.6918,                0.83757,                0.67504,                0.80357,                0.46857,                 1.5126,                 1.3873,                 1.9011,               0.007624,               0.007624,               0.007624
                     14,                 1.2321,                 1.3532,                 1.6976,                0.87281,                0.75144,                0.86103,                 0.5305,                 1.3999,                 1.1259,                 1.8068,               0.007426,               0.007426,               0.007426
                     15,                 1.2309,                 1.3135,                 1.6864,                0.86915,                0.78926,                0.88732,                0.54861,                 1.3549,                 1.0768,                 1.7547,               0.007228,               0.007228,               0.007228
                     16,                 1.2049,                 1.2541,                 1.6726,                0.82792,                0.82021,                0.87945,                 0.5401,                 1.3895,                 1.0489,                 1.7995,                0.00703,                0.00703,                0.00703
                     17,                 1.1948,                 1.2232,                 1.6621,                0.86348,                0.80712,                0.88822,                0.55613,                 1.3643,                 1.0289,                 1.7679,               0.006832,               0.006832,               0.006832
                     18,                 1.1846,                 1.2029,                 1.6548,                0.88969,                0.83945,                0.91984,                0.58679,                 1.3277,                0.91458,                 1.7135,               0.006634,               0.006634,               0.006634
                     19,                 1.1736,                  1.169,                 1.6475,                0.87218,                 0.8496,                0.91269,                0.57679,                  1.351,                 0.9575,                 1.7072,               0.006436,               0.006436,               0.006436
                     20,                 1.1696,                 1.1493,                 1.6344,                0.86409,                0.81795,                 0.9045,                0.55966,                 1.3619,                0.94885,                 1.7982,               0.006238,               0.006238,               0.006238
                     21,                 1.1491,                 1.0952,                 1.6163,                0.87924,                0.82214,                0.90311,                0.57639,                 1.3412,                0.94282,                 1.7376,                0.00604,                0.00604,                0.00604
                     22,                 1.1642,                 1.1133,                 1.6343,                0.86946,                0.82335,                0.90635,                0.57757,                 1.3273,                0.93099,                 1.7458,               0.005842,               0.005842,               0.005842
                     23,                 1.1397,                 1.0759,                 1.6071,                0.85396,                0.86492,                0.92316,                 0.5975,                 1.3143,                0.87139,                 1.6873,               0.005644,               0.005644,               0.005644
                     24,                 1.1394,                 1.0775,                 1.6095,                0.90023,                0.82813,                0.92074,                0.60015,                   1.31,                 0.8555,                  1.694,               0.005446,               0.005446,               0.005446
                     25,                 1.1341,                 1.0636,                 1.6063,                0.88058,                0.86578,                0.92806,                0.59981,                 1.3045,                0.87938,                 1.6786,               0.005248,               0.005248,               0.005248
                     26,                 1.1273,                 1.0263,                 1.5961,                0.89656,                0.86359,                0.93614,                0.61108,                 1.2921,                0.79574,                 1.6799,                0.00505,                0.00505,                0.00505
                     27,                 1.1262,                 1.0265,                 1.6033,                0.89997,                0.86573,                  0.936,                0.61393,                 1.2886,                0.80272,                 1.6776,               0.004852,               0.004852,               0.004852
                     28,                 1.1084,                0.97551,                 1.5875,                0.90091,                0.85649,                0.93682,                0.60838,                 1.2943,                0.80841,                 1.6726,               0.004654,               0.004654,               0.004654
                     29,                 1.0887,                0.97548,                 1.5651,                 0.9025,                0.88387,                0.93852,                0.61071,                 1.2869,                 0.8028,                  1.669,               0.004456,               0.004456,               0.004456
                     30,                 1.0915,                0.94974,                 1.5659,                0.89492,                0.85169,                0.92595,                0.61613,                  1.265,                0.81217,                 1.6435,               0.004258,               0.004258,               0.004258
                     31,                 1.0931,                0.95952,                 1.5681,                0.90061,                0.88696,                  0.941,                0.61493,                 1.2826,                0.77028,                 1.6686,                0.00406,                0.00406,                0.00406
                     32,                  1.093,                0.95736,                 1.5621,                0.90922,                0.87625,                0.94031,                0.62613,                 1.2423,                0.76713,                  1.622,               0.003862,               0.003862,               0.003862
                     33,                 1.0718,                0.92081,                  1.547,                0.89253,                  0.904,                0.94751,                0.62558,                   1.25,                0.75551,                 1.6233,               0.003664,               0.003664,               0.003664
                     34,                 1.0736,                0.91188,                 1.5448,                0.91914,                0.87405,                0.94565,                0.62582,                 1.2495,                0.75944,                 1.6468,               0.003466,               0.003466,               0.003466
