                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.064,                0.90606,                 1.5469,                0.90356,                0.87573,                0.94078,                0.62736,                 1.2407,                0.75436,                 1.6253,               0.003268,               0.003268,               0.003268
                     36,                 1.0638,                0.90528,                 1.5387,                0.90787,                 0.8859,                0.94734,                0.62874,                 1.2524,                0.73567,                  1.622,                0.00307,                0.00307,                0.00307
                     37,                 1.0593,                 0.8807,                 1.5302,                0.90544,                0.89053,                0.94591,                0.62967,                  1.254,                0.72831,                 1.6311,               0.002872,               0.002872,               0.002872
                     38,                 1.0546,                0.85935,                  1.526,                0.88414,                0.90971,                0.94138,                0.62515,                 1.2638,                0.74183,                 1.6377,               0.002674,               0.002674,               0.002674
                     39,                 1.0451,                0.85388,                 1.5211,                0.89972,                0.90928,                0.94829,                0.63618,                  1.237,                0.71528,                 1.6146,               0.002476,               0.002476,               0.002476
                     40,                 1.1808,                0.67585,                 1.4793,                0.90719,                0.89188,                0.94625,                0.63065,                  1.259,                0.73322,                 1.6394,               0.002278,               0.002278,               0.002278
                     41,                  1.172,                0.64595,                  1.459,                 0.9189,                0.89181,                0.95703,                0.64147,                 1.2391,                0.70951,                 1.6334,                0.00208,                0.00208,                0.00208
                     42,                 1.1577,                0.62416,                 1.4508,                0.91071,                0.88279,                0.95034,                0.64246,                 1.2289,                0.69632,                 1.5931,               0.001882,               0.001882,               0.001882
                     43,                 1.1524,                 0.6078,                 1.4277,                0.92358,                0.90324,                0.95382,                0.63911,                 1.2405,                0.69874,                 1.6015,               0.001684,               0.001684,               0.001684
                     44,                 1.1485,                 0.5929,                 1.4132,                0.92735,                0.91446,                0.96002,                0.64662,                 1.2285,                0.68099,                 1.5932,               0.001486,               0.001486,               0.001486
                     45,                 1.1339,                0.58601,                 1.4101,                0.91993,                 0.9092,                0.95683,                0.64987,                 1.2225,                 0.6731,                 1.5848,               0.001288,               0.001288,               0.001288
                     46,                 1.1178,                0.57136,                 1.3938,                0.92401,                0.91022,                0.95494,                0.65027,                 1.2239,                0.66784,                 1.5963,                0.00109,                0.00109,                0.00109
                     47,                 1.1067,                0.55787,                 1.3858,                0.91174,                0.92418,                0.95574,                0.64851,                 1.2207,                0.66468,                 1.5946,               0.000892,               0.000892,               0.000892
                     48,                 1.1046,                0.54745,                 1.3754,                0.91948,                0.91191,                 0.9562,                0.65103,                 1.2127,                0.65827,                 1.5875,               0.000694,               0.000694,               0.000694
                     49,                 1.0881,                0.54325,                 1.3628,                0.92731,                0.90614,                0.95799,                0.65473,                 1.2182,                0.65537,                  1.584,               0.000496,               0.000496,               0.000496
