                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.1988,                 4.8035,                 1.4772,                0.00016,                0.05392,                0.00015,                  2e-05,                 3.4707,                 4.8641,                0.36141,               0.007822,               0.007822,               0.007822
                     13,                 1.2259,                 4.5174,                 1.4615,                 0.0001,                0.05882,                0.00012,                  2e-05,                 3.3989,                 4.9342,                0.22454,               0.007624,               0.007624,               0.007624
                     14,                 1.1996,                 4.6367,                 1.3823,                 0.0001,                0.05882,                0.00012,                  2e-05,                 3.4677,                 4.4948,                 0.3945,               0.007426,               0.007426,               0.007426
                     15,                 1.1336,                 4.3349,                 1.3755,                 0.0001,                0.05882,                0.00012,                  2e-05,                 3.3954,                 4.6336,                0.22422,               0.007228,               0.007228,               0.007228
                     16,                 1.2326,                 4.2618,                 1.3664,                 0.0001,                0.05882,                0.00012,                  2e-05,                 3.4541,                 4.5839,                0.31607,                0.00703,                0.00703,                0.00703
                     17,                 1.2033,                  4.264,                 1.3615,                 0.0001,                0.05882,                0.00012,                  2e-05,                  3.606,                 4.4618,                0.43798,               0.006832,               0.006832,               0.006832
                     18,                 1.2098,                 4.2139,                 1.3575,                0.00099,                0.33824,                0.00113,                0.00012,                 3.4972,                 4.8979,                0.35586,               0.006634,               0.006634,               0.006634
                     19,                 1.0749,                 4.1344,                 1.3203,                  8e-05,                0.01471,                  7e-05,                  1e-05,                 3.9443,                 4.0815,                0.72191,               0.006436,               0.006436,               0.006436
                     20,                 1.1586,                 4.0705,                 1.3933,                0.00254,                 0.5049,                0.00313,                0.00031,                 3.7948,                 3.9019,                0.58777,               0.006238,               0.006238,               0.006238
                     21,                 1.2027,                 3.9133,                 1.3317,                0.00168,                0.35294,                0.00209,                0.00021,                  3.907,                 4.0919,                0.91027,                0.00604,                0.00604,                0.00604
                     22,                 1.1663,                 3.8857,                 1.2558,                0.00221,                0.56373,                0.00455,                0.00046,                 3.7904,                 4.0361,                0.87661,               0.005842,               0.005842,               0.005842
                     23,                 1.1354,                 3.9656,                 1.2734,                0.00283,                0.69118,                0.00619,                0.00062,                 3.7601,                 3.8727,                0.86589,               0.005644,               0.005644,               0.005644
                     24,                 1.0708,                 3.8893,                 1.2892,                0.00282,                0.64706,                0.01395,                 0.0014,                 3.6825,                 3.8396,                0.73338,               0.005446,               0.005446,               0.005446
                     25,                 1.0988,                 3.9947,                 1.2197,                0.00314,                0.54902,                0.00543,                0.00054,                 3.7203,                 3.8035,                0.54811,               0.005248,               0.005248,               0.005248
                     26,                 1.1318,                 3.9596,                 1.2232,                0.00275,                0.65196,                0.00733,                0.00073,                 3.7708,                 3.9329,                0.82182,                0.00505,                0.00505,                0.00505
                     27,                0.99654,                 3.8268,                 1.2333,                0.00334,                0.88725,                0.01132,                0.00113,                 3.7131,                 3.9058,                0.69999,               0.004852,               0.004852,               0.004852
                     28,                 1.1214,                 3.7746,                  1.253,                0.00324,                0.71078,                0.00824,                0.00082,                 3.6688,                 3.8292,                0.59317,               0.004654,               0.004654,               0.004654
                     29,                 1.0726,                 3.8853,                 1.2093,                0.00193,                0.42157,                0.00188,                0.00019,                 3.7895,                  4.032,                0.60083,               0.004456,               0.004456,               0.004456
                     30,                 1.0537,                 3.7523,                 1.2364,                0.00332,                0.78431,                0.01038,                0.00104,                 3.7121,                 3.8787,                0.61214,               0.004258,               0.004258,               0.004258
                     31,                0.99619,                 3.5937,                 1.2652,                0.00369,                0.86275,                0.00686,                0.00069,                 3.7711,                 3.8264,                0.71275,                0.00406,                0.00406,                0.00406
                     32,                 1.0181,                 3.8206,                 1.1684,                0.00438,                0.86765,                0.03262,                0.00326,                  3.684,                 3.6876,                0.51834,               0.003862,               0.003862,               0.003862
                     33,                0.99774,                 3.8019,                 1.1516,                0.00364,                0.68137,                0.00994,                0.00099,                 3.7521,                 3.7622,                0.82144,               0.003664,               0.003664,               0.003664
                     34,                 1.0083,                 3.7137,                 1.1926,                0.00335,                0.90686,                0.02774,                0.00277,                 3.6689,                 3.9359,                0.42562,               0.003466,               0.003466,               0.003466
                     35,                0.87868,                 3.7276,                 1.1639,                0.00361,                0.88235,                0.00983,                0.00098,                 3.7405,                 3.8788,                0.61483,               0.003268,               0.003268,               0.003268
                     36,                 1.0857,                 3.6396,                 1.1699,                0.00385,                0.93137,                 0.0162,                0.00162,                 3.6641,                 3.7763,                0.51434,                0.00307,                0.00307,                0.00307
                     37,                0.97419,                 3.7373,                 1.1523,                0.00447,                0.92157,                0.01983,                0.00198,                 3.6611,                 3.6717,                0.45322,               0.002872,               0.002872,               0.002872
                     38,                0.98472,                 3.6132,                 1.1072,                0.00364,                0.82843,                0.02366,                0.00237,                 3.7025,                 3.8205,                0.54866,               0.002674,               0.002674,               0.002674
                     39,                0.82892,                 3.6809,                 1.0865,                0.00448,                0.95098,                0.02249,                0.00225,                 3.6222,                 3.6237,                0.45645,               0.002476,               0.002476,               0.002476
                     40,                 1.9711,                 3.8559,                0.66891,                0.00698,                0.63725,                0.02511,                0.00263,                 3.5229,                 3.7793,                0.31682,               0.002278,               0.002278,               0.002278
                     41,                  1.827,                 3.4265,                0.63938,                0.00671,                0.69118,                0.01988,                 0.0028,                 3.4859,                  3.669,                0.28571,                0.00208,                0.00208,                0.00208
                     42,                 1.6752,                 3.3284,                0.54659,                0.00663,                0.96078,                0.03149,                0.00502,                 3.4571,                 3.5653,                 0.2295,               0.001882,               0.001882,               0.001882
                     43,                 1.8434,                 3.2568,                0.57642,                0.00712,                0.60294,                0.02861,                 0.0051,                 3.4197,                 3.7494,                 0.1671,               0.001684,               0.001684,               0.001684
                     44,                 1.8276,                 3.2649,                0.50256,                0.00594,                0.80392,                0.02288,                0.00293,                 3.4754,                 3.5401,                0.23165,               0.001486,               0.001486,               0.001486
                     45,                 1.5994,                  3.061,                0.45643,                0.00679,                0.33824,                0.01878,                0.00358,                 3.4507,                 3.8703,                0.23896,               0.001288,               0.001288,               0.001288
                     46,                   1.69,                 3.0721,                0.41519,                0.01359,                0.55392,                 0.0249,                0.00348,                 3.4729,                 3.6818,                0.29213,                0.00109,                0.00109,                0.00109
                     47,                 1.7153,                 3.1759,                0.52198,                0.01017,                0.78431,                0.06624,                0.00718,                 3.4787,                 3.6059,                0.27147,               0.000892,               0.000892,               0.000892
                     48,                 1.8277,                 3.1313,                0.46288,                0.00633,                0.63235,                0.03777,                0.00522,                 3.4562,                 3.6443,                0.24875,               0.000694,               0.000694,               0.000694
                     49,                 1.6444,                 3.2138,                0.47012,                0.00609,                0.77941,                 0.0275,                0.00473,                 3.4373,                 3.5605,                0.21106,               0.000496,               0.000496,               0.000496
