                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8327,                 25.117,                 2.8645,                      0,                      0,                      0,                      0,                 4.7336,                 8.0477,                 1.7211,               0.070326,              0.0032971,              0.0032971
                      1,                 1.8315,                 17.464,                 1.7492,                  4e-05,                0.02941,                  9e-05,                  1e-05,                 4.3889,                 7.0506,                 1.4078,               0.040195,              0.0064992,              0.0064992
                      2,                 1.6171,                 10.975,                  1.795,                0.00035,                0.04412,                 0.0003,                  3e-05,                 3.9745,                 4.9656,                0.83003,              0.0099315,              0.0095692,              0.0095692
                      3,                   1.61,                 10.708,                 1.7942,                  1e-05,                0.01961,                  1e-05,                      0,                 4.1559,                 6.8445,                 1.6186,               0.009406,               0.009406,               0.009406
                      4,                 1.6282,                  8.548,                 1.8525,                  1e-05,                0.01961,                  1e-05,                      0,                 3.9539,                 4.7051,                0.62575,               0.009406,               0.009406,               0.009406
                      5,                  1.631,                 7.7439,                 1.8578,                  1e-05,                0.01961,                  1e-05,                      0,                 3.6238,                 5.4552,                0.48829,               0.009208,               0.009208,               0.009208
                      6,                 1.5133,                 6.7103,                 1.7553,                  1e-05,                0.01961,                  1e-05,                      0,                 3.4628,                 4.6605,                0.30092,                0.00901,                0.00901,                0.00901
                      7,                 1.4476,                 6.5932,                 1.7633,                  1e-05,                0.01961,                  1e-05,                      0,                 4.0322,                 5.1316,                 1.2512,               0.008812,               0.008812,               0.008812
                      8,                  1.312,                 5.3395,                 1.6968,                  1e-05,                0.01961,                  1e-05,                      0,                   3.64,                  4.735,                0.60063,               0.008614,               0.008614,               0.008614
                      9,                 1.2665,                 5.0069,                 1.5274,                  1e-05,                0.01961,                  1e-05,                      0,                 3.5145,                 5.1201,                0.37199,               0.008416,               0.008416,               0.008416
                     10,                 1.2398,                 4.8396,                 1.4883,                  1e-05,                0.01961,                  1e-05,                      0,                 3.4848,                 4.6017,                0.27467,               0.008218,               0.008218,               0.008218
                     11,                  1.251,                 4.9577,                 1.5533,                0.00016,                0.05392,                0.00015,                  2e-05,                 3.5948,                  4.828,                0.61159,                0.00802,                0.00802,                0.00802
